ID,A,B,NEITHER
test-1,0.2739572764525598,0.6401934917925337,0.25774994399042683
test-2,0.4812181810506406,0.3055079238283456,0.40222028965587053
test-3,0.5417796116951179,0.36009811785170875,0.21401138106419623
test-4,0.19282756466072398,0.600159593088719,0.3047252137018023
test-5,0.6309117691892768,0.3752378741721537,0.3399084333339749
test-6,0.3517170980413031,0.4770117717569962,0.3399868287155255
test-7,0.4369689513266815,0.3138334345289117,0.3739963477156686
test-8,0.24616657699811284,0.37251705892651793,0.3573370080045396
test-9,0.5341652233375971,0.2537447320884708,0.3960900514955252
test-10,0.19538503389875503,0.4498306677924937,0.22430587281416758
test-11,0.2156783138520209,0.6373770734643569,0.32167010052181405
test-12,0.4364774529496776,0.36006566063704093,0.42574803671347194
test-13,0.3086612267508382,0.6000002686726793,0.19668506617221698
test-14,0.2836836424104991,0.4322421514178528,0.3730083230253897
test-15,0.6442624367352235,0.2882745002531872,0.24608840540305332
test-16,0.48136603358960073,0.3956214308216028,0.3903459470010496
test-17,0.5610879399684632,0.3597860148341609,0.25494686931084987
test-18,0.36046454732246724,0.28924479571077416,0.4885977891062538
test-19,0.4273025392157942,0.42438812921612606,0.20369241664637203
test-20,0.40790489485018044,0.2500125171799447,0.21261678097043915
test-21,0.19071429356429606,0.5833481211271593,0.3643007901866867
test-22,0.35151989873266576,0.4431873501917597,0.35773315466416167
test-23,0.41135762213990434,0.2006786116031746,0.3738111547842502
test-24,0.540764288218944,0.18385341721532256,0.19829895507619463
test-25,0.4680966611267878,0.18926021336419824,0.33935468073054265
test-26,0.358039458783348,0.6075672736834843,0.39864806988261053
test-27,0.44694079016808325,0.41077955415477907,0.21511911960081406
test-28,0.2607084613279635,0.42955941607353143,0.3817757497028462
test-29,0.4101196682963065,0.6421750105539872,0.2573235905234674
test-30,0.22989038846480886,0.4881412852198358,0.3794047680738973
test-31,0.2295914259912155,0.5554590773365792,0.1927403805487417
test-32,0.3452169675067731,0.22421906018414342,0.38284299238732955
test-33,0.32337240108152737,0.3763344927351133,0.39405926873026
test-34,0.3068535966041127,0.6480024406413852,0.19749200535794262
test-35,0.2592246193074572,0.5023283936293144,0.3449386873218988
test-36,0.3750671800562696,0.445486579956748,0.27832361244263626
test-37,0.4272036417523749,0.43557201727249484,0.26057898083943515
test-38,0.30720576585097625,0.26945433738507696,0.3787007141999281
test-39,0.3826002158250189,0.4449652336057712,0.2277029639779834
test-40,0.43790044031998554,0.20558113734389952,0.35864399288373544
test-41,0.3457928013606442,0.5511220581123102,0.17870302180130465
test-42,0.3216700350003262,0.24740876623386127,0.36278357404640776
test-43,0.5113240658792889,0.28865504757887417,0.4221647559219737
test-44,0.2801709037953861,0.550802682055804,0.24114168675842074
test-45,0.49314809118952263,0.3476416890634845,0.18765017513837434
test-46,0.490388563950347,0.41175147052679295,0.34682652350037535
test-47,0.21847032775223632,0.6575360555838793,0.2914108732672785
test-48,0.43886029741974175,0.2785389554538521,0.3330453658708487
test-49,0.19159769318387296,0.4475649511717422,0.2680868029752267
test-50,0.45297659303541976,0.22430394672119935,0.47711188266512433
test-51,0.4583182337670827,0.23400129717542253,0.5621232629550339
test-52,0.4981865174329387,0.3171268670539687,0.415750060034755
test-53,0.23215414299233256,0.5900645354105314,0.349299278816414
test-54,0.23803865195974544,0.5917325112334972,0.31371152494957244
test-55,0.45680100216774766,0.38797923524116323,0.33179393000105306
test-56,0.2691860241591405,0.5308773988981732,0.3197433763500563
test-57,0.2875147744967006,0.5169380570787772,0.23751393839635299
test-58,0.4613179344955658,0.3398849479148973,0.23047865116816846
test-59,0.3177470172584861,0.35052899104069374,0.3967872990476565
test-60,0.42600312772722315,0.1940115548955434,0.18515645835084724
test-61,0.5825507212184027,0.41211313139362465,0.2635393950783587
test-62,0.5820546975860724,0.20727938061044937,0.3241428769090812
test-63,0.4368036837134548,0.1878859493075055,0.3564255050021667
test-64,0.5523361112404067,0.41944004093497117,0.21878267874615262
test-65,0.5753561909085375,0.2930707285456153,0.2350752787081302
test-66,0.2686794479926676,0.6141444748277654,0.30465306493776345
test-67,0.4443859760909709,0.3833429808741563,0.2759174031161251
test-68,0.4012727856387152,0.5018497968653137,0.25015947301011326
test-69,0.5071108489530622,0.28414215462931375,0.17596014053035944
test-70,0.307753394366077,0.6275045369180825,0.24476001569945466
test-71,0.5796498240608695,0.29866574397437895,0.20469119516193726
test-72,0.37881538370447015,0.3217587256132874,0.37756591798514205
test-73,0.36553179510043343,0.5496423306946339,0.33994520994954147
test-74,0.336945267747837,0.5064510493021808,0.38222186938987246
test-75,0.2967148393452979,0.5093887731122343,0.2920866274538827
test-76,0.41445434469318226,0.5639270071618745,0.2567621812042229
test-77,0.6568870642863927,0.24977713351636338,0.17493899624793627
test-78,0.39984342166807146,0.394183145792056,0.26370579710146397
test-79,0.5942959279268186,0.17981814367266524,0.3909609215354362
test-80,0.2544875810841418,0.4364584090340617,0.2549914156111331
test-81,0.4038060485794227,0.3547960312225281,0.3338667532507879
test-82,0.23178065265225767,0.5720499694200633,0.3182264824350154
test-83,0.40517844773455736,0.41422887159321636,0.2507931107319268
test-84,0.49441623227640896,0.17690124576617614,0.2495383017048055
test-85,0.4899893243940614,0.3952514301658919,0.33784109584019295
test-86,0.6378169946021411,0.23609021002269082,0.3420896102016794
test-87,0.5587830952968853,0.416226704421492,0.2628631052398878
test-88,0.5088819379405545,0.31280113883824334,0.37110839645072635
test-89,0.19481433195688028,0.580317589130132,0.2526519301775485
test-90,0.5187257521067552,0.3668359444707295,0.26624127001804354
test-91,0.33665909456000076,0.49006034197182907,0.27681888080500455
test-92,0.4752247808043931,0.44086357771258006,0.36677049989639415
test-93,0.3887337428616931,0.5292173563205023,0.24794140479555238
test-94,0.4208797185446403,0.4217480959808799,0.26881879486186167
test-95,0.30011160162193273,0.4661205390801919,0.24895084458915864
test-96,0.6232861955057509,0.19249632389631915,0.25315712851633376
test-97,0.21901335665301744,0.47093676502080006,0.3959808468578726
test-98,0.46578209159393685,0.3671035883781239,0.33134623013318243
test-99,0.2450303450150326,0.6127551665526985,0.27693553982247804
test-100,0.35395810725779464,0.265415828589877,0.41620744424169664
test-101,0.325630253855588,0.5241595254680951,0.3606188978465562
test-102,0.21482251192609816,0.4160558201890061,0.3447556278621304
